"Guid","ShaderName","File","Length","DummyExporter","SolidWhiteFragment","PackageInclude"
"2f7155eab10066f408851ef296eba5ff","AssetKits/Additive","Assets\Shader\AssetKits_Additive.shader","1874","False","False","False"
"0e6407883450cbf4e9c3026859ec9489","Custom/URP/UnlitRimWithShadows","Assets\Shader\Custom_URP_UnlitRimWithShadows.shader","3098","False","False","False"
"f9465a891ce82c244939e189a1bea368","Hidden/Core/FallbackError","Assets\Shader\Hidden_Core_FallbackError.shader","1061","False","False","False"
"a8ffe51012e135a40a7ed0456e5a0ec7","Hidden/CoreSRP/CoreCopy","Assets\Shader\Hidden_CoreSRP_CoreCopy.shader","1093","False","False","False"
"bbde668dd71957f459762c2fda51f5e0","Hidden/Shader Graph/FallbackError","Assets\Shader\Hidden_Shader Graph_FallbackError.shader","1176","False","False","False"
"3a9ff86ffdd3b204d84724c2380e48e5","Hidden/TerrainEngine/Details/UniversalPipeline/BillboardWavingDoublePass","Assets\Shader\Hidden_TerrainEngine_Details_UniversalPipeline_BillboardWavingDoublePass.shader","1142","False","False","False"
"927619bea7e7ab14e9daae57aafee2e2","Hidden/TerrainEngine/Details/UniversalPipeline/Vertexlit","Assets\Shader\Hidden_TerrainEngine_Details_UniversalPipeline_Vertexlit.shader","1126","False","False","False"
"ad7681b66ca97974c85d9f436eb8e93b","Hidden/TerrainEngine/Details/UniversalPipeline/WavingDoublePass","Assets\Shader\Hidden_TerrainEngine_Details_UniversalPipeline_WavingDoublePass.shader","1133","False","False","False"
"6831b3ce72b44d745890788a11e41f3c","Hidden/UI/Default (UIEffect)","Assets\Shader\Hidden_UI_Default (UIEffect).shader","1970","False","False","False"
"fb243063d4a247948ad52886f6783269","Hidden/Universal Render Pipeline/CameraMotionVectors","Assets\Shader\Hidden_Universal Render Pipeline_CameraMotionVectors.shader","1122","False","False","False"
"b00b2bcd3d9cd3a43b60c731b87dc432","Hidden/Universal Render Pipeline/CopyDepth","Assets\Shader\Hidden_Universal Render Pipeline_CopyDepth.shader","1112","False","False","False"
"0eaf04d7b18471d4ba57ded182a17eb6","Hidden/Universal Render Pipeline/DBufferClear","Assets\Shader\Hidden_Universal Render Pipeline_DBufferClear.shader","1115","False","False","False"
"2b218efbdf837d845a4aaabf2b2d83de","Hidden/Universal Render Pipeline/Debug/DebugReplacement","Assets\Shader\Hidden_Universal Render Pipeline_Debug_DebugReplacement.shader","1125","False","False","False"
"c462cae9ff6f7d246bc9e2087b01fe11","Hidden/Universal Render Pipeline/FallbackError","Assets\Shader\Hidden_Universal Render Pipeline_FallbackError.shader","1116","False","False","False"
"afe4bb68e61df8e43b98b9ac53bde92b","Hidden/Universal Render Pipeline/Sampling","Assets\Shader\Hidden_Universal Render Pipeline_Sampling.shader","1111","False","False","False"
"b97bb317d11826f4b92e0764957e75b8","Hidden/Universal Render Pipeline/StencilDeferred","Assets\Shader\Hidden_Universal Render Pipeline_StencilDeferred.shader","1118","False","False","False"
"389898476a2637e40959900128c5529d","Hidden/Universal Render Pipeline/XR/XRMirrorView","Assets\Shader\Hidden_Universal Render Pipeline_XR_XRMirrorView.shader","1118","False","False","False"
"56b947b231c9c894a8d027437de01ee3","Hidden/Universal Render Pipeline/XR/XRMotionVector","Assets\Shader\Hidden_Universal Render Pipeline_XR_XRMotionVector.shader","1120","False","False","False"
"3bb84f7688b29354898459b8d10f87c8","Hidden/Universal Render Pipeline/XR/XROcclusionMesh","Assets\Shader\Hidden_Universal Render Pipeline_XR_XROcclusionMesh.shader","1121","False","False","False"
"2d5f1cbacf1e07d479349404df761436","Hidden/Universal/BlitHDROverlay","Assets\Shader\Hidden_Universal_BlitHDROverlay.shader","1101","False","False","False"
"d27b42e0cf85c2b4391f98636c02f7ab","Hidden/Universal/CoreBlit","Assets\Shader\Hidden_Universal_CoreBlit.shader","1095","False","False","False"
"b75184fcd75adda4b994e1557c77c99b","Hidden/Universal/CoreBlitColorAndDepth","Assets\Shader\Hidden_Universal_CoreBlitColorAndDepth.shader","1108","False","False","False"
"b4cdc87597d6cb649a41be9c8227326c","Hidden/Universal/HDRDebugView","Assets\Shader\Hidden_Universal_HDRDebugView.shader","1099","False","False","False"
"cc77e64ea98b1094b9c2fbbce69fc9ed","JuicedUp/DarkOverlayMasked","Assets\Shader\JuicedUp_DarkOverlayMasked.shader","1347","False","False","False"
"916bf0c2fb6d9b04782025f3889591db","JuicedUp/DarkOverlayStencilWriter","Assets\Shader\JuicedUp_DarkOverlayStencilWriter.shader","1313","False","False","False"
"1ceaf634ce84f704b8b5a0f99b23f1d2","Shader Graphs/SH_FakeUnlit_Color","Assets\Shader\Shader Graphs_SH_FakeUnlit_Color.shader","1139","False","False","False"
"84924ed7565e8624b96ca5e51cb6287f","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","1749","False","False","False"
"dafa18d152eb028498b88398979a82fc","Shader Graphs/SH_FX_Particle_Dissolve_Additive","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Additive.shader","2093","False","False","False"
"73c856de8858e2f4fbc0e859893a3bf7","Shader Graphs/SH_FX_Particle_Dissolve_Alpha","Assets\Shader\Shader Graphs_SH_FX_Particle_Dissolve_Alpha.shader","2200","False","False","False"
"9cf57f5b5c17bca43bb20cb3c879ee09","Shader Graphs/SH_FX_Sprite_Multiply","Assets\Shader\Shader Graphs_SH_FX_Sprite_Multiply.shader","1298","False","False","False"
"10e76ace7ddb58847956cef503574e39","Shader Graphs/SH_Snake","Assets\Shader\Shader Graphs_SH_Snake.shader","2132","False","False","False"
"2c62bfcb30b61484a8e87d7d9562d252","Shader Graphs/SH_Tile_FakeUnlit","Assets\Shader\Shader Graphs_SH_Tile_FakeUnlit.shader","3335","False","False","False"
"6ff5fafe75eac8b46b1b501c9a5ee883","Shapes2D/Shape","Assets\Shader\Shapes2D_Shape.shader","1970","False","False","False"
"a2ba6b8c761d31d41b9af8ac69d31e90","TextMeshPro/Distance Field","Assets\Shader\TextMeshPro_Distance Field.shader","11973","False","False","False"
"588c69116f22f6648b9fe3f4ac7c9fd9","TextMeshPro/Mobile/Distance Field","Assets\Shader\TextMeshPro_Mobile_Distance Field.shader","8525","False","False","False"
"ff8462b6e621a8345844621c94b3984b","TextMeshPro/Sprite","Assets\Shader\TextMeshPro_Sprite.shader","3042","False","False","False"
"d6d703ce50bdbbc45ad71f44812df2d1","Toony Colors Pro 2/Hybrid Shader 2","Assets\Shader\Toony Colors Pro 2_Hybrid Shader 2.shader","3320","False","False","False"
"740585338c2f1b546a558c2b80305e3a","UI/Additive","Assets\Shader\UI_Additive.shader","1867","False","False","False"
"8e6402661a2946b489d8a8b5e9d65745","UI/Hidden/UI-Effect-Shiny","Assets\Shader\UI_Hidden_UI-Effect-Shiny.shader","2024","False","False","False"
"e591da70890cbf747b6a1fcf8f46fdbd","Universal Render Pipeline/2D/Sprite-Unlit-Default","Assets\Shader\Universal Render Pipeline_2D_Sprite-Unlit-Default.shader","1439","False","False","False"
"2d6045059fa231945aa14281158167e1","Universal Render Pipeline/Lit","Assets\Shader\Universal Render Pipeline_Lit.shader","1759","False","False","False"
"59d5fc7ad208af443a0a5b0a9e609590","Universal Render Pipeline/Particles/Unlit","Assets\Shader\Universal Render Pipeline_Particles_Unlit.shader","1353","False","False","False"
"39e31a78d4bee624aa1398faf18d579b","Universal Render Pipeline/Unlit","Assets\Shader\Universal Render Pipeline_Unlit.shader","1621","False","False","False"
