"Material","ShaderGuid","ShaderFileID","ShaderType","ShaderName","ShaderFile","ShaderCategory","DummyExporter"
"Assets\Material\MAT_Fruit_Banana_0.mat","0e6407883450cbf4e9c3026859ec9489","4800000","3","Custom/URP/UnlitRimWithShadows","Assets\Shader\Custom_URP_UnlitRimWithShadows.shader","Custom handwritten shader","True"
"Assets\Material\MAT_CrossRoad.mat","1ceaf634ce84f704b8b5a0f99b23f1d2","4800000","3","Shader Graphs/SH_FakeUnlit_Color","Assets\Shader\Shader Graphs_SH_FakeUnlit_Color.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Island_Path.mat","1ceaf634ce84f704b8b5a0f99b23f1d2","4800000","3","Shader Graphs/SH_FakeUnlit_Color","Assets\Shader\Shader Graphs_SH_FakeUnlit_Color.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Apple.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Blueberry.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Box.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Box_Sign.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Bridge_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Bridge_Wood.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_BridgePlanks.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Carrot.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Eggplant.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Fruit_Pear.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Rising_Block.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Rocks.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Strawberry.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\MAT_Switch.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Blue.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Green.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Orange.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
"Assets\Material\Mat_Tunnel_Purple.mat","84924ed7565e8624b96ca5e51cb6287f","4800000","3","Shader Graphs/SH_FakeUnlit_Texture","Assets\Shader\Shader Graphs_SH_FakeUnlit_Texture.shader","Custom Shader Graph export","True"
